Date,FREN,ZG,SFSN,SLHN,LUKN,PM,PSPN,MOLN,GLKBN,MBTN1,BCGE,LUMX,DAE,FI-N,SGKN,PMN,PLAN,IGPH,BALN,WMN
2019-07-01,11.7204,6240.0,77.8212,375.1887,74.2189,390.2712,96.9864,14.56,24.4282,,186.4792,0.109,139.8646,877.3989,368.1707,400.5863,223.2431,1.71,137.1326,0.0
2019-07-02,11.7204,6220.0,77.2208,380.3315,74.0506,383.649,98.5124,14.7,24.1831,,185.556,0.109,139.1266,868.0499,370.2722,393.789,222.3465,1.68,138.4755,0.0
2019-07-03,11.7614,6220.0,77.7288,382.9029,74.3871,397.7764,99.5297,14.6,24.2648,,185.556,0.1,139.3111,877.3989,371.9533,408.2899,223.2431,1.65,140.0554,0.0
2019-07-04,11.6794,6200.0,77.775,384.2275,75.2286,388.9468,100.6318,14.72,24.1831,,185.556,0.1,136.9123,879.7361,373.6344,399.2268,223.2431,1.65,140.2923,0.0
2019-07-05,11.7614,6200.0,75.7891,379.9419,74.6396,384.5319,99.021,14.0,24.1014,,186.4792,0.102,136.3588,867.5825,370.6924,394.6953,225.0362,1.7,138.8705,0.0
2019-07-08,11.7204,6080.0,76.3895,381.8899,73.7981,390.7127,99.5297,13.9,23.6929,,184.6328,0.0925,135.2517,853.5591,366.9099,401.0395,224.1396,1.74,139.1864,0.0
2019-07-09,11.8023,6100.0,74.7268,382.6691,74.5554,384.0905,99.6993,14.16,23.3661,,184.6328,0.09,132.6684,807.2818,365.2287,394.2422,224.1396,1.69,139.5024,0.0
2019-07-10,11.7614,6060.0,74.4035,380.5653,74.6396,388.5053,99.021,14.1,23.6929,,183.7097,0.0855,132.2994,806.3469,361.4461,398.7737,224.1396,1.69,140.2923,0.0
2019-07-11,11.8023,6080.0,70.6626,381.5782,74.303,384.9734,99.8688,13.96,24.0197,,183.7097,0.0855,127.6864,789.5188,363.5476,395.1485,225.9327,1.69,142.9781,0.0
2019-07-12,11.8023,6180.0,71.7248,379.864,73.714,384.0905,100.3775,13.92,23.938,,185.556,0.1,130.6387,796.9979,360.1853,394.2422,225.9327,1.69,141.8722,0.0
2019-07-15,11.8433,6120.0,72.3252,382.7471,73.5457,384.5319,100.0384,13.76,23.938,,183.7097,0.1,130.2697,796.9979,359.765,394.6953,225.9327,1.72,141.5562,0.0
2019-07-16,11.8023,6140.0,71.6786,383.76,73.6298,385.4149,99.3602,13.98,23.938,,183.7097,0.1,130.2697,796.5305,360.6056,395.6016,225.0362,1.66,142.5831,0.0
2019-07-17,11.8023,6120.0,70.9859,386.4093,73.4615,385.4149,100.8862,14.06,24.0197,,185.556,0.1,129.5316,789.5188,357.2433,395.6016,225.9327,1.68,144.9529,0.0
2019-07-18,11.8433,6120.0,68.769,385.5522,72.8725,381.0001,101.5644,14.0,23.8563,,183.7097,0.086,125.1032,775.0279,356.4027,391.0701,225.0362,1.68,143.768,0.0
